author,journal,doi,title,institution,place_inst,number/vol/measure,web,year,type,type_detail
"Michelle Antolos ""Aileen K. Miller"" ""Wayne Z. Trivelpiece""",,,"AMLR 2003/2004 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOM-TM-NMFS-SWFSC-367, Chapter 7}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/NOAA-TM-NMFS-SWFSC-367.PDF,2004,report,"{AMLR 2003/2004 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Rachael A. Orben ""Sarah E. Chisholm"" ""Aileen K. Miller"" ""Wayne Z. Trivelpiece""",,,"AMLR 2006/2007 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-409, Chapter 7}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/FSR%202006-07p.pdf,2007,report,"{AMLR 2006/2007 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"S. G. Trivelpiece ""Alexis Will"" ""Kristen Boysen"" ""Penelope Chilton"" ""Wayne Z. Trivelpiece""",,,AMLR 2010--2011 Field Season Report,"Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA -TM-NMFS-SWFSC-524, Chapter 6}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/FSR2011_AMLR_FINAL.pdf?n=9809,2014,report,{AMLR 2010--2011 Field Season Report}
"S. G. Trivelpiece ""Amy Lindsley"" ""Alexis Will"" ""Renee Koplan"" ""Jefferson T. Hinke"" ""Wayne Z. Trivelpiece""",,,"AMLR 2009/2010 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-470, Chapter 9}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/TM-470%202009-10.pdf,2011,report,"{AMLR 2009/2010 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Sarah E. Chisholm ""Kevin W. Pietrzak"" ""Aileen K. Miller"" ""Wayne Z. Trivelpiece""",,,"AMLR 2007/2008 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOAA-TM-NMFS-SWFSC-427, Chapter 5}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/AMLR%2007-08%20%20FSR%20TM-427.pdf,2008,report,"{AMLR 2007/2008 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Terence Carten ""Michael R. Taft"" ""Wayne Z. Trivelpiece"" ""Rennie S. Holt""",,,"AMLR 1999/2000 Field Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{NOM-TM-NMFS-SWFSC-302, Chapter 7}",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/NOAA-TM-NMFS-SWFSC-302.PDF,2001,report,"{AMLR 1999/2000 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"Terence Carten ""Wayne Z. Trivelpiece"" ""Rennie S. Holt""",,,"AMLR 1998/99 iFeld Season Report: Objectives, Accomplishments and Tentative Conclusions","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{Administrative Report LJ-99-10, Chapter",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/1988-1989%20FSRp.pdf,1999,report,"{AMLR 1998/99 iFeld Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"W. D. Shuford ""Larry B. Spear""",,,NOAA Technical Memorandum NMFS-F/NEC-59,"Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States",,,1988,report,{NOAA Technical Memorandum NMFS-F/NEC-59}
"Wayne Z. Trivelpiece ""Penelope Chilton""",,,"25 November 2013 weekly field reports: Copacabana, King George Island","Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States",Volume 1,,2013,report,
"Wayne Z. Trivelpiece ""Terence Carten"" ""William T. Cobb"" ""Daniel P. Costa"" ""Michael E. Goebel"" ""Rennie S. Holt"" [7] ""Jeremy T. Sterling"" ""Philip H. Thorson""",,,,"Antarctic Ecosystem Research Division, National Oceanic .&} Atmospheric Administration","La Jolla, United States","{Administrative Report LJ-98-07, Chapter",https://swfsc.noaa.gov/uploadedFiles/Divisions/AERD/Publications/LJ-98-07.PDF,1998,report,"{AMLR 1997/98 Field Season Report: Objectives, Accomplishments and Tentative Conclusions}"
"David G. Ainley isbn [1] ""9780231123068""",Columbia University Press,,The Adélie penguin: Bellwether of climate change,,"New York, United States",,,2002,book,
"R. Hucke-Gaete ""D. Torres"" ""V. Vallejos""",,,"Population size and distribution of.\emphPygoscelis antarctica and.\emphP. papua at Cape Shirreff, Livingston Island, Antarctica (1996/97 Season)",Commission for the Conservation of Antarctic Marine Living Resources,"San Diego, United States",{WG-EMM-97/62},,1997,report,{Working Group on Ecosystem Monitoring and Management}
Korean Polar Research Institute,,,"A Study on Monitoring of Antarctic Special Protected Area and Environmental Management of Antarctic Base (6) year [1] ""2020"" attr(,""bibtype"") [1] ""TechReport"" attr(,""key"") [1] ""kpri2020report6"" attr(,""dateobj"") [1] ""2020-01-01 CST""",Ministry of the Environment,"Sejong-si, Republic of Korea",BSPG19040-037-3,,2020,report,
Antarctic Treaty Consultative Meeting,,,"Management plan for Antarctic Specially Protected Area No.\ 104: Sabrina Island, Balleny Island, Antarctic",{Antarctic Treaty System},"Sofia, Bulgaria",{Measure 4},,2015,report,{Final Report of the Thirty-eighth Antarctic Treaty Consultative Meeting}
Eric J. Woehler,,,Status and trends of Antarctic and Subantarctic penguins,SCAR,"Tasmania, Australia",,,2000,report,draft
"""Michael D. Whitehead"" ""Gavin W. Johnstone""","""{Proceedings of the NIPR Symposium on Polar Biology}""","isbn [1] ""0914563X""","The distribution and estimated abundance of Adélie penguins breeding in Prydz Bay, Antarctica""",," ""Tokyo, Japan""",,"http://ci.nii.ac.jp/naid/110001026115/T""",1990,conference paper,
Andrzej Myrcha,"""Department of Antarctic Biology, Polish Academy of Sciences""",,The maritime Antarctic coastal ecosystem of Admiralty Bay ,,"Warsaw, Poland",,,1993,book chapter,
Antarctic Treaty Consultative Meeting,,,"Management plan for Antarctic Specially Protected Area No.\ 117: Avian Island, Marguerite Bay, Antarctic Peninsula",{Antarctic Treaty System},"Warsaw, Poland",{Measure 1},http://www.ats.aq/documents/recatt/att180_e.pdf,2002,report,{Final Report of the Thirty-second Antarctic Treaty Consultative Meeting}
"Alexander Sagalansky ""Heather J. Lynch""",,,Personal communication,,,,,2021,personal communication,
"Andrés Barbosa ""Heather J. Lynch""",,,Personal communication,,,,,2003,personal communication,
"Dean Anderson ""Fiona Shanhun"" ""Rebecca Macneil"" doi [1] ""10.7931/kf06-x745"" field [1] ""Dataset"" note [1] ""{Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745}""",,,Aerial survey data of Adélie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019,,,,https://doi.org/10.7931/kf06-x745,2021,unpublished,
"Dnailo Tapia Perez ""Maureen Lynch""",,,,,,,,2017,personal communication,
"Eric J. Woehler ""Heather J. Lynch""",,,,,,,,2015,personal communication,
"Gemma Clucas ""Heather J. Lynch"" field [1] ""Dataset""",,,UAV imagery collected during 2021-22 field expedition,,,,,2022,unpublished,
"Heather J. Lynch field [1] ""Dataset""",,,Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset,,,,,2022,unpublished,
"Heather J. Lynch field [1] ""Dataset""",,,Stony Brook University Lynch Lab: Censuses of penguins and other seabirds dataset,,,,,2022,unpublished,
"Heather J. Lynch ""Tom Hart"" field [1] ""Dataset""",,,,,,,https://www.zooniverse.org/projects/penguintom79/penguin-watch,2023,unpublished,
"Jefferson T. Hinke doi [1] ""10.25921/58yq-7g68"" field [1] ""Dataset"" note [1] ""{NOAA National Centers for Environmental Information}""",,,Census Data of Colonial Penguins in Antarctica from 1977 to 2015 (NCEI Accession 0185113),,,,https://doi.org/10.25921/58yq-7g68,2019,unpublished,
"Jefferson T. Hinke ""Heather J. Lynch""",,,,,,,,2020,personal communication,
"Jessica Cardè field [1] ""Undergraduate thesis""",,,"Adélie Penguin .\emphPygoscelis adeliae) population trends in Cape Bird, Antarctica, 1956-2009: A response to climate change, competitive release and commercial fishing",,,,,2015,unpublished,
"Malcolm Burley ""A. G. E. Jones"" field [1] ""Monograph""",,,Joint services expedition to the Elephant Group Islands 1976--1977,,,,,1972,unpublished,
"Maria Virgínia Petry ""Heather J. Lynch""",,,,,,,,2018,personal communication,
"Michael J. Dunn ""Camilla Nichol"" ""Jaume Forcada"" ""Philip N. Trathan"" doi [1] ""10.5285/92e92c14-0ff2-4ce2-8305-83d5b3a4071d"" field [1] ""Dataset"" note [1] ""{Polar Data Centre, Natural Environment Research Council, UK Research.& Innovation}""",,,"Population numbers and breeding success of Gentoo penguins .\emphPygoscelis papua) at Port Lockroy, Goudier Island, 1996 - 2020, Version 1.0",,,,https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/01399,2020,unpublished,
"Michael J. Dunn ""Heather J. Lynch""",,,,,,,,2009,personal communication,
"Michael J. Dunn ""Camilla Nichol"" field [1] ""Dataset"" note [1] ""{Accessed by contacting UK Polar Data Centre, Natural Environment Research Council, UK Research.& Innovation}""",,,"Population numbers and breeding success of gentoo penguins .\emphPygoscelis papua) at Port Lockroy, Goudier Island, 2020-23",,,,https://www.zooniverse.org/projects/penguintom79/penguin-watch,2023,unpublished,
"Michelle A. LaRue ""Grant Humphries""",,,,,,,,2018,personal communication,
"Philip N. Trathan ""Heather J. Lynch""",,,,,,,,2009,personal communication,
"Rainer Mönke ""Andreas Bick"" field [1] ""Dataset""",,,"Fachlicher bericht ber die teilnahme der DDR-Biologengruppe an der 31. Sowjetischen Antarktisexpedition (SAE), Station Bellingshausen, King George Island (S dshetland Inseln/Antarktis)",,,,,1988,unpublished,
"Richard Phillips ""Heather J. Lynch""",,,,,,,,2016,personal communication,
"Ron Naveen ""Heather J. Lynch""",,,,,,,,2008,personal communication,
